,marginal_conversions_t1,marginal_spend_t1,marginal_CAC_t1,marginal_conversions_t2,marginal_spend_t2,marginal_CAC_t2,marginal_conversions_t3,marginal_spend_t3,marginal_CAC_t3
referral,1517.1,1000.0,0.659152330103487,1139.5833333333335,1000.0,0.8775137111517366,633.3666666666668,1000.0,1.5788642703015627
email,251.13333333333333,1000.0,3.9819485001327317,191.38333333333333,1000.0,5.225115387964817,138.9333333333334,1000.0,7.197696737044143
direct,1.9166666666666665,0.0,0.0,0.1499999999999999,0.0,0.0,1.35,0.0,0.0
social,484.5833333333333,1000.0000000000001,2.0636285468615654,337.78333333333336,999.9999999999999,2.9604776237232935,172.86666666666667,1000.0,5.784805244890088
display,439.26666666666665,1000.0,2.276521475185916,284.8166666666667,1000.0,3.5110304874480653,122.0333333333333,1000.0,8.194482381862882
paid_search,128.05,999.9999999999999,7.8094494338149145,109.76666666666665,1000.0000000000001,9.110233829334955,101.18333333333334,1000.0,9.883050568275408
organic_search,1.95,0.0,0.0,4.516666666666667,0.0,0.0,1.2666666666666666,0.0,0.0
